variable,faltantes,porcentaje_faltantes
nombre_del_procedimiento,1,0.01
entidad,0,0.0
nit_entidad,0,0.0
departamento_entidad,0,0.0
ordenentidad,0,0.0
ciudad_entidad,0,0.0
id_del_proceso,0,0.0
referencia_del_proceso,0,0.0
descripci_n_del_procedimiento,0,0.0
fase,0,0.0
fecha_de_publicacion_del,0,0.0
precio_base,0,0.0
modalidad_de_contratacion,0,0.0
duracion,0,0.0
unidad_de_duracion,0,0.0
ciudad_de_la_unidad_de,0,0.0
proveedores_invitados,0,0.0
proveedores_con_invitacion,0,0.0
respuestas_al_procedimiento,0,0.0
conteo_de_respuestas_a_ofertas,0,0.0
proveedores_unicos_con,0,0.0
numero_de_lotes,0,0.0
estado_del_procedimiento,0,0.0
adjudicado,0,0.0
departamento_proveedor,0,0.0
ciudad_proveedor,0,0.0
valor_total_adjudicacion,0,0.0
nombre_del_proveedor,0,0.0
nit_del_proveedor_adjudicado,0,0.0
codigo_principal_de_categoria,0,0.0
tipo_de_contrato,0,0.0
subtipo_de_contrato,0,0.0
urlproceso,0,0.0
codigo_entidad,0,0.0
