entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen,fecha_de_recepcion_de,fecha_de_apertura_efectiva,fecha_de_publicacion_fase_2,fecha_de_apertura_de_respuesta,fecha_adjudicacion,fecha_de_publicacion
ESE HOSPITAL SAN BERNARDO,890802223,Caldas,Filadelfia,Territorial,Centralizada,CO1.REQ.1057403,012-2020,704661388,CO1.BDOS.1020601,Prestar servicios en la realización de actividades de auxiliar de enfermería en las distintas áreas asistenciales de la E.S.E Hospital San Bernardo del municipio de Filadelfia.,Prestar servicios en la realización de actividades de auxiliar de enfermería en las distintas áreas asistenciales de la E.S.E Hospital San Bernardo del municipio de Filadelfia.,Presentación de oferta,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1900000,Contratación régimen especial,Decreto 092 de 2017,2,Mes(es),Filadelfia,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1021602'},704661388,Presentación de oferta,,,,,,
ESE HOSPITAL SAN BERNARDO,890802223,Caldas,Filadelfia,Territorial,Centralizada,CO1.REQ.1057401,008-2020,704661388,CO1.BDOS.1020503,Prestar servicios en la realización de actividades de auxiliar administrativo del proceso de facturación en la E.S.E Hospital San Bernardo centro de salud samaria y en la sede principal.,Prestar servicios en la realización de actividades de auxiliar administrativo del proceso de facturación en la E.S.E Hospital San Bernardo centro de salud samaria y en la sede principal.,Presentación de oferta,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1760000,Contratación régimen especial,Decreto 092 de 2017,2,Mes(es),Filadelfia,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80161500,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1021801'},704661388,Presentación de oferta,,,,,,
ESE HOSPITAL SAN BERNARDO,890802223,Caldas,Filadelfia,Territorial,Centralizada,CO1.REQ.1057201,005-2020,704661388,CO1.BDOS.1020401,Coordinar el proceso de facturación en la E.S.E Hospital San Bernardo del municipio de Filadelfia. Fortalecimiento del área a través de la estandarización del proceso y los procedimientos inherentes a,"Coordinar el proceso de facturación en la E.S.E Hospital San Bernardo del municipio
de Filadelfia. Fortalecimiento del área a través de la estandarización del proceso y
los procedimientos inherentes al área de facturación de la entidad.",Presentación de oferta,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,4000000,Contratación régimen especial,Decreto 092 de 2017,2,Mes(es),Filadelfia,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80161500,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1021601'},704661388,Presentación de oferta,,,,,,
ESE HOSPITAL SAN BERNARDO,890802223,Caldas,Filadelfia,Territorial,Centralizada,CO1.REQ.1057402,009-2020,704661388,CO1.BDOS.1020402,Prestar servicios en la realización de actividades de Coordinación del Mantenimiento preventivo y correctivo en todas las áreas de la E.S.E Hospital San del municipio de Filadelfia.,Prestar servicios en la realización de actividades de Coordinación del Mantenimiento preventivo y correctivo en todas las áreas de la E.S.E Hospital San del municipio de Filadelfia.,Presentación de oferta,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2400000,Contratación régimen especial,Decreto 092 de 2017,2,Mes(es),Filadelfia,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.72102900,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1021901'},704661388,Presentación de oferta,,,,,,
ALCALDIA MUNICIPAL DE BARANOA,890112371,Atlántico,Baranoa,Territorial,Descentralizada,CO1.REQ.1057405,C.A.-001-2020,701706467,CO1.BDOS.1020603,AUNAR ESFUERZOS Y RECURSOS CON EL FIN DE IMPULSAR EL DESARROLLO DEL PROYECTO DE INTERÉS PÚBLICO DENOMINADO DIFUSIÓN; PROMOCIÓN; PROYECCIÓN Y CONSERVACIÓN DE LA ESCENIFICACIÓN DE LA LOA DE LOS SANTOS,"REALIZACIÓN DE ESCENIFICACIÓN DE LA LOA DE LOS SANTOS REYES MAGOS, EN EL MUNICIPIO DE BARANOA, DEPARTAMENTO DEL ATLANTICO, COMO VALOR CULTURAL Y EDUCATIVO DEL MUNICIPIO.",Presentación de oferta,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,186000000,Contratación régimen especial,Decreto 092 de 2017,10,día(s),Baranoa,LOA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.94131500,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1021703'},701706467,Presentación de oferta,,,,,,
ESE HOSPITAL SAN BERNARDO,890802223,Caldas,Filadelfia,Territorial,Centralizada,CO1.REQ.1057302,007-2020,704661388,CO1.BDOS.1020501,Prestar servicios personales en el área de información y atención al usuario en la recepción; trámite y resolución de todas las reclamaciones y sugerencias que presentan los usuarios de la entidad; en,"Prestar servicios personales en el área de información y atención al usuario en la
recepción, trámite y resolución de todas las reclamaciones y sugerencias que
presentan los usuarios de la entidad, en la ESE Hospital San Bernardo",Presentación de oferta,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1900000,Contratación régimen especial,Decreto 092 de 2017,2,Mes(es),Filadelfia,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80161500,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1021702'},704661388,Presentación de oferta,,,,,,
ESE HOSPITAL SAN BERNARDO,890802223,Caldas,Filadelfia,Territorial,Centralizada,CO1.REQ.1057404,013-2020,704661388,CO1.BDOS.1020602,Prestar servicios en la realización de actividades de como médico general en las distintas áreas asistenciales de la E.S.E Hospital San Bernardo del municipio de Filadelfia.  2,"Prestar servicios en la realización de actividades de como médico general en las distintas áreas asistenciales de la E.S.E Hospital San Bernardo del municipio de Filadelfia. 
2",Presentación de oferta,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,5200000,Contratación régimen especial,Decreto 092 de 2017,2,Mes(es),Filadelfia,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1021902'},704661388,Presentación de oferta,,,,,,
ESE HOSPITAL SAN BERNARDO,890802223,Caldas,Filadelfia,Territorial,Centralizada,CO1.REQ.1057202,015-2020,704661388,CO1.BDOS.1020403,Prestar servicios en la realización de actividades para la Actualización y la Caracterización de Familias en APS (Atención Primaria en Salud); en el Municipio de Filadelfia; en la zona Urbana y Rural.,"Prestar servicios en la realización de actividades para la Actualización y la Caracterización de Familias en APS (Atención Primaria en Salud), en el Municipio de Filadelfia, en la zona Urbana y Rural.",Presentación de oferta,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,950000,Contratación régimen especial,Decreto 092 de 2017,2,Mes(es),Filadelfia,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80161500,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1021802'},704661388,Presentación de oferta,,,,,,
ESE HOSPITAL SAN BERNARDO,890802223,Caldas,Filadelfia,Territorial,Centralizada,CO1.REQ.1057701,011-2020,704661388,CO1.BDOS.1020605,Prestar servicios en la realización de actividades de Asesoría del sistema obligatorio de la calidad en la atención en salud de la E.S.E Hospital San del municipio de Filadelfia.,Prestar servicios en la realización de actividades de Asesoría del sistema obligatorio de la calidad en la atención en salud de la E.S.E Hospital San del municipio de Filadelfia.,Presentación de oferta,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,85680000,Contratación régimen especial,Decreto 092 de 2017,12,Mes(es),Filadelfia,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80161500,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1022001'},704661388,Presentación de oferta,,,,,,
ESE HOSPITAL SAN BERNARDO,890802223,Caldas,Filadelfia,Territorial,Centralizada,CO1.REQ.1057301,006-2020,704661388,CO1.BDOS.1020502,Prestar servicios realizando actividades como auxiliar administrativo en el área de facturación.,"Prestar servicios realizando actividades como auxiliar administrativo en el área de
facturación.",Presentación de oferta,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1900000,Contratación régimen especial,Decreto 092 de 2017,2,Mes(es),Filadelfia,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80161500,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1021701'},704661388,Presentación de oferta,,,,,,
